transmissivity
-0 0 0 9.14850e-07
-1 0 0 9.14850e-07
-2 0 0 1.00217e-16
-3 0 0 1.00217e-16
-4 0 0 9.14850e-07
-5 0 0 9.14850e-07
-6 0 0 9.14850e-07
-7 0 0 9.14850e-07
-8 0 0 9.14850e-07
-9 0 0 9.14850e-07
-10 0 0 9.14850e-07
-11 0 0 9.14850e-07
-12 0 0 9.14850e-07
-13 0 0 9.14850e-07
-14 0 0 9.14850e-07
-15 0 0 9.14850e-07
-16 0 0 9.14850e-07
-17 0 0 9.14850e-07
-18 0 0 9.14850e-07
-19 0 0 9.14850e-07
-20 0 0 9.14850e-07
-21 0 0 9.14850e-07
-22 0 0 9.14850e-07
-23 0 0 9.14850e-07
-24 0 0 9.14850e-07
-25 0 0 9.14850e-07
-26 0 0 9.14850e-07
-27 0 0 9.14850e-07
-28 0 0 9.14850e-07
-29 0 0 9.14850e-07
-30 0 0 9.14850e-07
-31 0 0 9.14850e-07
-32 0 0 9.14850e-07
-33 0 0 9.14850e-07
-34 0 0 9.14850e-07
-35 0 0 9.14850e-07
-36 0 0 9.14850e-07
-37 0 0 9.14850e-07
-38 0 0 9.14850e-07
-39 0 0 9.14850e-07
-40 0 0 9.14850e-07
-41 0 0 9.14850e-07
-42 0 0 9.14850e-07
-43 0 0 9.14850e-07
-44 0 0 9.14850e-07
-45 0 0 9.14850e-07
-46 0 0 9.14850e-07
-47 0 0 9.14850e-07
-48 0 0 9.14850e-07
-49 0 0 9.14850e-07
-50 0 0 9.14850e-07
-51 0 0 9.14850e-07
-52 0 0 9.14850e-07
-53 0 0 9.14850e-07
